longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
-122.23,37.88,41,880,129.0,322,126,8.3252,452600
-122.22,37.86,21,7099,1106.0,2401,1138,8.3014,358500
-122.24,37.85,52,1467,190.0,496,177,7.2574,352100
-122.25,37.85,52,1274,235.0,558,219,5.6431,341300
-122.25,37.85,52,1627,280.0,565,259,3.8462,342200
-122.25,37.85,52,919,213.0,413,193,4.0368,269700
-122.25,37.84,52,2535,489.0,1094,514,3.6591,299200
-122.25,37.84,52,3104,687.0,1157,647,3.12,241400
-122.26,37.84,42,2555,665.0,1206,595,2.0804,226700
-122.25,37.84,52,3549,707.0,1551,714,3.6912,261100
-122.26,37.85,52,2202,434.0,910,402,3.2031,281500
-122.26,37.85,52,3503,752.0,1504,734,3.2705,241800
-122.26,37.85,52,2491,474.0,1098,468,3.075,213500
-122.26,37.84,52,696,191.0,345,174,2.6736,191300
-122.26,37.85,52,2643,626.0,1212,620,1.9167,159200
-122.26,37.85,50,1120,283.0,697,264,2.125,140000
-122.27,37.85,52,1966,347.0,793,331,2.775,152500
-122.27,37.85,52,1228,293.0,648,303,2.1202,155500
-122.26,37.84,50,2239,455.0,990,419,1.9911,158700
-122.27,37.84,52,1503,298.0,690,275,2.6033,162900
-122.27,37.85,40,751,184.0,409,166,1.3578,147500
-122.27,37.85,42,1639,367.0,929,366,1.7135,159800
-122.27,37.84,52,2436,541.0,1015,478,1.725,113900
-122.27,37.84,52,1688,337.0,853,325,2.1806,99700
-122.27,37.84,52,2224,437.0,1006,422,2.6,132600
-122.28,37.85,41,535,123.0,317,119,2.4038,107500
-122.28,37.85,49,1130,244.0,607,239,2.4597,93800
-122.28,37.85,52,1898,421.0,1102,397,1.808,105500
-122.28,37.84,50,2082,492.0,1131,473,1.6424,108900
-122.28,37.84,52,729,160.0,395,155,1.6875,132000
-122.28,37.84,49,1916,447.0,863,378,1.9274,122300
-122.28,37.84,52,2153,481.0,1168,441,1.9615,115200
-122.27,37.84,48,1922,409.0,1026,335,1.7969,110400
-122.27,37.83,49,1655,366.0,754,329,1.375,104900
-122.27,37.83,51,2665,574.0,1258,536,2.7303,109700
-122.27,37.83,49,1215,282.0,570,264,1.4861,97200
-122.27,37.83,48,1798,432.0,987,374,1.0972,104500
-122.28,37.83,52,1511,390.0,901,403,1.4103,103900
-122.26,37.83,52,1470,330.0,689,309,3.48,191400
-122.26,37.83,52,2432,715.0,1377,696,2.5898,176000
-122.26,37.83,52,1665,419.0,946,395,2.0978,155400
-122.26,37.83,51,936,311.0,517,249,1.2852,150000
-122.26,37.84,49,713,202.0,462,189,1.025,118800
-122.26,37.84,52,950,202.0,467,198,3.9643,188800
-122.26,37.83,52,1443,311.0,660,292,3.0125,184400
-122.26,37.83,52,1656,420.0,718,382,2.6768,182300
-122.26,37.83,50,1125,322.0,616,304,2.026,142500
-122.27,37.82,43,1007,312.0,558,253,1.7348,137500
-122.26,37.82,40,624,195.0,423,160,0.9506,187500
-122.27,37.82,40,946,375.0,700,352,1.775,112500
-122.27,37.82,21,896,453.0,735,438,0.9218,171900
-122.27,37.82,43,1868,456.0,1061,407,1.5045,93800
-122.27,37.82,41,3221,853.0,1959,720,1.1108,97500
-122.27,37.82,52,1630,456.0,1162,400,1.2475,104200
-122.28,37.82,52,1170,235.0,701,233,1.6098,87500
-122.28,37.82,52,945,243.0,576,220,1.4113,83100
-122.28,37.82,52,1238,288.0,622,259,1.5057,87500
-122.28,37.82,52,1489,335.0,728,244,0.8172,85300
-122.28,37.82,52,1387,341.0,1074,304,1.2171,80300
-122.29,37.82,2,158,43.0,94,57,2.5625,60000
-122.29,37.83,52,1121,211.0,554,187,3.3929,75700
-122.29,37.82,49,135,29.0,86,23,6.1183,75000
-122.29,37.81,50,760,190.0,377,122,0.9011,86100
-122.3,37.81,52,1224,237.0,521,159,1.191,76100
-122.3,37.81,48,828,182.0,392,133,2.5938,73500
-122.3,37.81,52,1010,209.0,604,187,1.1667,78400
-122.3,37.81,48,1455,354.0,788,332,0.8056,84400
-122.29,37.8,52,1027,244.0,492,147,2.6094,81300
-122.3,37.81,52,572,109.0,274,82,1.8516,85000
-122.29,37.81,46,2801,644.0,1823,611,0.9802,129200
-122.29,37.81,26,768,152.0,392,127,1.7719,82500
-122.29,37.81,46,935,297.0,582,277,0.7286,95200
-122.29,37.81,49,844,204.0,560,152,1.75,75000
-122.29,37.81,46,12,4.0,18,7,0.4999,67500
-122.29,37.81,20,835,161.0,290,133,2.483,137500
-122.28,37.81,17,1237,462.0,762,439,0.9241,177500
-122.28,37.81,36,2914,562.0,1236,509,2.4464,102100
-122.28,37.81,19,1207,243.0,721,207,1.1111,108300
-122.29,37.81,23,1745,374.0,1054,325,0.8026,112500
-122.28,37.8,38,684,176.0,344,155,2.0114,131300
-122.28,37.81,17,924,289.0,609,289,1.5,162500
-122.27,37.81,52,210,56.0,183,56,1.1667,112500
-122.28,37.81,52,340,97.0,200,87,1.5208,112500
-122.28,37.81,52,386,164.0,346,155,0.8075,137500
-122.28,37.81,35,948,184.0,467,169,1.8088,118800
-122.28,37.81,52,773,143.0,377,115,2.4083,98200
-122.27,37.81,40,880,451.0,582,380,0.977,118800
-122.27,37.81,10,875,348.0,546,330,0.76,162500
-122.27,37.8,10,105,42.0,125,39,0.9722,137500
-122.27,37.8,52,249,78.0,396,85,1.2434,500001
-122.27,37.8,16,994,392.0,800,362,2.0938,162500
-122.28,37.8,52,215,87.0,904,88,0.8668,137500
-122.28,37.8,52,96,31.0,191,34,0.75,162500
-122.27,37.79,27,1055,347.0,718,302,2.6354,187500
-122.27,37.8,39,1715,623.0,1327,467,1.8477,179200
-122.26,37.8,36,5329,2477.0,3469,2323,2.0096,130000
-122.26,37.82,31,4596,1331.0,2048,1180,2.8345,183800
-122.26,37.81,29,335,107.0,202,91,2.0062,125000
-122.26,37.82,22,3682,1270.0,2024,1250,1.2185,170000
-122.26,37.82,37,3633,1085.0,1838,980,2.6104,193100
-122.25,37.81,29,4656,1414.0,2304,1250,2.4912,257800
-122.25,37.81,28,5806,1603.0,2563,1497,3.2177,273400
-122.25,37.81,39,854,242.0,389,228,3.125,237500
-122.25,37.81,52,2155,701.0,895,613,2.5795,350000
-122.26,37.81,34,5871,1914.0,2689,1789,2.8406,335700
-122.24,37.82,52,1509,225.0,674,244,4.9306,313400
-122.24,37.81,52,2026,482.0,709,456,3.2727,268500
-122.25,37.81,52,1758,460.0,686,422,3.1691,259400
-122.24,37.82,52,3481,751.0,1444,718,3.9,275700
